"InsetL [um]","ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
5,300,125,1.51656251956846,5.43101031586789
5,300,125.625,1.51722408794223,5.50970342931892
5,300,126.25,1.51786119472317,5.58827786907895
5,300,126.875,1.51847498066219,5.6667379683944
5,300,127.5,1.51906651734929,5.74508802162703
5,300,128.125,1.51963681231958,5.82333228530455
5,300,128.75,1.52018681371401,5.90147497920444
5,300,129.375,1.52071741453952,5.97952028746513
5,300,130,1.52122945656792,6.05747235971994
5,300,130.625,1.52172373390888,6.13533531224941
5,300,131.25,1.52220099628813,6.21311322914865
5,300,131.875,1.52266195205899,6.29081016350645
5,300,132.5,1.52310727097192,6.36843013859374
5,300,133.125,1.52353758672468,6.44597714905898
5,300,133.75,1.52395349931277,6.5234551621287
5,300,134.375,1.52435557719841,6.60086811881166
5,300,135,1.52474435931396,6.67821993510512
5,300,135.625,1.52512035691426,6.75551450320239
5,300,136.25,1.52548405529124,6.83275569270051
5,300,136.875,1.52583591536221,6.90994735180759
5,300,137.5,1.5261763751428,6.98709330854908
5,300,138.125,1.52650585111403,7.06419737197266
5,300,138.75,1.52682473949226,7.14126333335152
5,300,139.375,1.52713341740996,7.21829496738565
5,300,140,1.52743224401453,7.29529603340136
5,300,140.625,1.52772156149159,7.37227027654877
5,300,141.25,1.5280016960188,7.44922142899756
5,300,141.875,1.52827295865554,7.52615321113106
5,300,142.5,1.52853564617345,7.60306933273881
5,300,143.125,1.52879004183236,7.67997349420817
5,300,143.75,1.52903641610553,7.75686938771487
5,300,144.375,1.52927502735833,7.83376069841335
5,300,145,1.52950612248343,7.91065110562687
5,300,145.625,1.52972993749592,7.98754428403826
5,300,146.25,1.52994669809115,8.06444390488137
5,300,146.875,1.53015662016797,8.1413536371342
5,300,147.5,1.53035991031983,8.21827714871383
5,300,148.125,1.53055676629599,8.29521810767411
5,300,148.75,1.5307473774349,8.37218018340636
5,300,149.375,1.53093192507161,8.44916704784408
5,300,150,1.53111058292113,8.52618237667201
5,300,150.625,1.53128351743915,8.60322985054038
5,300,151.25,1.53145088816179,8.68031315628507
5,300,151.875,1.53161284802565,8.75743598815429
5,300,152.5,1.53176954366954,8.83460204904264
5,300,153.125,1.531921115719,8.9118150517332
5,300,153.75,1.53206769905472,8.98907872014858
5,300,154.375,1.53220942306593,9.0663967906116
5,300,155,1.53234641188962,9.14377301311648
5,300,155.625,1.53247878463657,9.22121115261146
5,300,156.25,1.53260665560488,9.29871499029357
5,300,156.875,1.53273013448187,9.3762883249166
5,300,157.5,1.53284932653499,9.45393497411307
5,300,158.125,1.53296433279237,9.53165877573122
5,300,158.75,1.53307525021373,9.609463589188
5,300,159.375,1.53318217185205,9.68735329683883
5,300,160,1.53328518700671,9.76533180536562
5,300,160.625,1.53338438136842,9.84340304718346
